"Country","Total fertility rate","Adolescent fertility rate","Unmet need for contraception","Contraceptive prevalence rate","Pregnant women receiving prenatal care","Births attended by skilled health staff","Maternal mortality ratio","Lifetime risk of maternal mortality"
,"Any method","National estimates","Modeled estimates",
,"births per woman","births per 1,000 women ages 15-19","% of married women ages 15-49","% of married women ages 15-49",%,"% of total",,"per 100,000 live births","per 100,000 live births",,"Probability 1 woman in:"
Turkey,3.1,2.1,28,6,74,97,..,97,..,97,16,3000
Turkmenistan,4.3,2.3,17,..,..,..,..,..,7,82,42,940
"Turks and Caicos Islands",..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,..,..,..,..,100,..,0,..,..,..
Uganda,7.1,5.8,115,35,27,93,38,58,432,687,343,47
Ukraine,1.8,1.5,25,5,65,99,100,99,13,46,24,2600
"United Arab Emirates",4.4,1.8,29,..,..,..,..,100,..,17,6,7900
"United Kingdom",1.8,1.8,15,..,84,..,..,..,..,10,9,5800
"United States",2.1,1.9,24,8,76,..,99,99,28,12,14,3800
Uruguay,2.5,2,57,..,..,97,..,98,10,37,15,3300
Uzbekistan,4.1,2.2,18,..,..,..,..,..,20,54,36,1000
Vanuatu,4.9,3.3,43,24,49,76,..,89,..,225,78,360
"Venezuela, RB",3.4,2.4,80,..,..,..,..,96,72,94,95,420
Vietnam,3.6,2,38,6,76,96,..,94,67,139,54,870
"Virgin Islands (U.S.)",3,1.8,44,..,..,..,..,..,..,..,..,..
"West Bank and Gaza",6.7,4.2,59,16,57,99,..,100,..,118,45,490
"Yemen, Rep.",8.6,4.2,62,29,34,60,34,45,150,547,385,60
Zambia,6.5,5.4,93,21,49,96,50,64,398,577,224,79
Zimbabwe,5.2,3.9,110,10,67,94,70,80,610,440,443,52
World,3.3,2.5,45,..,63,83,..,70,..,385,216,180
"East Asia & Pacific",2.6,1.8,21,..,80,95,85,93,..,159,59,930
"Europe & Central Asia",2,1.7,18,..,..,..,..,..,..,44,16,3400
"Latin America & Caribbean",3.2,2.1,65,..,..,97,76,93,..,135,67,670
"Middle East & North Africa",4.9,2.8,39,11,61,87,..,89,..,166,81,400
"North America",2.1,1.8,23,8,76,..,99,99,..,11,13,4100
"South Asia",4.3,2.6,35,20,53,73,..,51,..,558,182,200
"Sub-Saharan Africa",6.4,5,103,23,26,78,..,50,..,987,547,36
"Low income",6.4,4.8,99,25,30,78,..,49,..,1010,496,40
"Lower middle income",4.3,2.8,47,18,52,78,..,59,..,533,251,130
"Upper middle income",2.7,1.8,32,..,81,96,90,98,..,114,54,970
"High income",1.8,1.7,15,..,..,..,..,..,..,15,10,6000
